Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u40	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	Vox	Vox	Opposition	Right to far-right	FranciscoJoséContrerasPeláez	Contreras Peláez, Francisco José	M	1964	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u41	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u42	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	EvaPatriciaBuenoCampanario	Bueno Campanario, Eva Patricia	F	1971	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u43	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u44	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	EvaPatriciaBuenoCampanario	Bueno Campanario, Eva Patricia	F	1971	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u45	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u46	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u47	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	PSC-PSOE	Partido Socialista de Cataluya - Partido Socialista Obrero Español	-	Centre-left	ArnauRamírezCarner	Ramírez Carner, Arnau	M	1989	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u48	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u49	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	PSC-PSOE	Partido Socialista de Cataluya - Partido Socialista Obrero Español	-	Centre-left	ArnauRamírezCarner	Ramírez Carner, Arnau	M	1989	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u50	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u51	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centre-left to left	MaríaCarvalhoDantas	Carvalho Dantas, María	F	1969	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u52	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u53	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	ERC-S	Esquerra Republicana de Catalunya - Sobiranistes	Opposition	Centre-left to left	MaríaCarvalhoDantas	Carvalho Dantas, María	F	1969	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u54	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u55	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	Vox	Vox	Opposition	Right to far-right	RocíoDeMeerMéndez	De Meer Méndez, Rocío	F	1989	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u56	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u57	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	Vox	Vox	Opposition	Right to far-right	RocíoDeMeerMéndez	De Meer Méndez, Rocío	F	1989	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u58	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u59	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Regular	MP	notMinister	Vox	Vox	Opposition	Right to far-right	RocíoDeMeerMéndez	De Meer Méndez, Rocío	F	1989	
ParlaMint-ES_2023-02-07-CD230207	ParlaMint-ES_2023-02-07-CD230207.u60	Plenary session 231 (2023-02-07)	2023-02-07	Lower house	Legislatura XIV	Sesión plenaria núm. 231	-	2023-02-07	-	COVID,War	Spanish	Chairperson	MP	notMinister	PSOE	Partido Socialista Obrero Español	Coalition	Centre-left	AlfonsoRodríguezGómezDeCelis	Rodríguez Gómez De Celis, Alfonso	M	1970	
